holding_id,filed_by,official_flight_id,filed_by_in_catalog,filed_by_in_collection,location,special_location,scale_1,scale_2,scale_3,index_type,index_scale,index_filed_under,begin_date,end_date,size,height,width,vertical,oblique_high,oblique_low,overlap,sidelap,filmtype,bw,bw_IR,color,color_IR,spectral_range,printt,pos_trans,negative,digital,o_p_d,black and white,Color,cut Frame,roll,print,acquired_digital,positive,negative,spectral description,extra,roll,cut_frame,filter,generation_held,camera,lens_focal_length,platform_id,directional_orientation,altitude_a,altitude_b,altitude_c,contractor_requestor,flown_by,acquired_from,note,copyright,access_limitations,area_general,counties,index_digital,frames_scanned,estimated_frame_count,ready_ref,prod_test,last_update
502010,72-150-00655,"72-150, acc. 00655",72-150 acc. 00655,"72-150, acc. 00655",5,Roll Film Collection,96000,56000,NULL,NASA-FSR,500000,NULL,1972-08-23,1972-08-23,frames 9 x 9 inches,9,9,1,0,0,60%,10%,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"HC-730V, # 6",6 in. (152.4mm),NASA U-2 #4,NULL,48000,28000,NULL,Fire Assessment,NASA - Ames,UCSB/GRSU,Bear Fire flight (still burning).,Public Domain,NULL,Ventura County (California),Ventura;,1,0,NULL,no,prod,2017-01-04 13:05:22
502011,72-174-00721,"72-174, acc. 00721",72-174 acc. 00721,"72-174, acc. 00721",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1972-10-05,1972-10-05,frames 9 x 9 inches,9,9,1,0,0,60%,10%,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"RC-10, # 17",6 in. (152.4mm),NASA U-2 #5,NULL,65000,NULL,NULL,ERTS-1 Aircraft Support Proposal 317-045,NASA - Ames,UCSB/GRSU,Processing scratches frames 4656-67 (2 copies).,Public Domain,NULL,California - Regions,Los Angeles; Ventura; Santa Barbara; San Luis Obispo; Kern; Kings; Fresno;,1,0,NULL,no,prod,2017-01-04 13:07:36
502012,72-175-00726,"72-175, acc. 00726",72-175 acc. 00726,"72-175, acc. 00726",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1972-10-06,1972-10-06,frames 9 x 9 inches,9,9,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"RC-10,  # 16",6 in. (152.4mm),ER-2 #4,Various,65000,NULL,NULL,NASA / Ames,NASA - Ames,"UCB, Colwell Collection",Some frames are missing from MIL copy of roll.,Public Domain,NULL,California - Regions,San Mateo; San Francisco; Alameda; Contra Costa; Marin; Sonoma; Mendocino; Humboldt; Del Norte;,1,0,NULL,no,prod,2017-01-06 15:37:39
502013,72-178-00759,"72-178, acc. 00759",72-178 acc. 00759,"73-006, acc. 00885",5,NULL,400000,NULL,NULL,NASA-FSR,2000000,NULL,1972-10-11,1972-10-11,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2424,0,1,0,0,690-760nm,0,1,0,0,Positive Transparency; Black & White-infrared,,,,,,,Positive Transparency,,Black & White-infrared,,1,0,NULL,3rd generation,Vinten # 3,1.75 in.,U-2 Aircraft #4,NULL,65000,NULL,NULL,Unknown,NASA - Ames,Eros Data Center,NULL,Public Domain,NULL,California - Regions,San Diego; Orange; Los Angeles; Riverside; San Bernardino;,1,0,NULL,no,prod,2012-08-06 11:33:02
502014,72-178-00760,"72-178, acc. 00760",72-178 acc. 00760,"72-178, acc. 00760",5,Roll Film Collection,400000,NULL,NULL,NASA-FSR,2000000,NULL,1972-10-11,1972-10-11,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,Vinten # 4,1.75 in.,U-2 Aircraft #4,NULL,65000,NULL,NULL,Unknown,NASA - Ames,Eros Data Center,NULL,Public Domain,NULL,California - Regions,San Diego; Orange; Los Angeles; Riverside; San Bernardino;,1,0,NULL,no,prod,2012-08-06 11:33:02
502015,72-189-00782,"72-189, acc. 00782",72-189 acc. 00782,"72-112, acc. 00496",5,NULL,400000,NULL,NULL,NASA-FSR,2000000,NULL,1972-10-30,1972-10-30,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2402,1,0,0,0,510-700nm,0,1,0,0,Positive Transparency; Black & White,Black & White,,,,,,Positive Transparency,,,,1,0,Wratten 12,3rd generation,Vinten # 1,Lens Focal Length:1.75 in.,U-2 Aircraft #4,NULL,65000,NULL,NULL,Unknown,NASA - Ames,Eros Data Center,"Some coastal fog near San Francisco. Land area deliberately overexposed, California coast (Mexico to Marin County).",Reproduction rights held by the Regents of the University of California.,NULL,California - Regions,San Diego; Orange; Los Angeles; Ventura; Santa Barbara; San Luis Obispo; Monterey; Santa Cruz; San Mateo; San Francisco,1,0,NULL,no,prod,2012-08-06 11:33:02
502016,72-189-00786,"72-189, acc. 00786",72-189 acc. 00786,"72-189, acc. 00786",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1972-10-30,1972-10-30,frames 9 x 9 inches,9,9,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"RC-10,  # 16",6 in. (152.4mm),U-2 Aircraft #4,NULL,65000,NULL,NULL,U.S. Army Corps of Engineers,NASA - Ames,Eros Data Center,California coast (Mexico to Marin Co.).,Public Domain,NULL,California - Regions,San Diego; Orange; Los Angeles; Ventura; Santa Barbara; San Luis Obispo; Monterey; Santa Cruz; San Mateo; San Francisco,1,0,NULL,no,prod,2012-08-06 11:33:02
502017,73-003-00882,"73-003, acc. 00882",73-003 acc. 00882,"73-003, acc. 00882",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1973-01-04,1973-01-04,frames 9 x 9 inches,9,9,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"RC-10,  # 17",6 in. (152.4mm),ER-2 #4,Various,65000,NULL,NULL,Unknown,NASA - Ames,"UCB, Colwell Collection",MIL does not hold complete coverage of this flight.,Public Domain,NULL,California - Regions,San Mateo; San Francisco; Alameda; Contra Costa; Marin; Sonoma; Mendocino; Humboldt; Del Norte;,1,0,NULL,no,prod,2017-01-06 15:37:39
502018,73-006-00885,"73-006, acc. 00885",73-006 acc. 00885,"73-006, acc. 00885",5,Roll Film Collection,400000,NULL,NULL,NASA-FSR,2000000,NULL,1973-01-19,1973-01-19,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2424,0,1,0,0,690-760nm,0,1,0,0,Positive Transparency; Black & White-infrared,,,,,,,Positive Transparency,,Black & White-infrared,,1,0,NULL,3rd generation,Vinten # 13,1.75 in.,U-2 Aircraft #5,NULL,65000,NULL,NULL,Unknown,NASA - Ames,Eros Data Center,"Scattered Clouds, 80% in some photographs, Earth Resources Aircraft Project.  ERTS-1 Aircraft Support.  Clocks are Greenwich Mean Time.",Public Domain,NULL,California - Regions,Los Angeles; Ventura; Santa Barbara;,1,0,NULL,no,prod,2012-08-06 11:33:02
502019,73-006-00886,"73-006, acc. 00886",73-006 acc. 00886,"73-142, acc. 01391",5,NULL,400000,NULL,NULL,NASA-FSR,2000000,NULL,1973-01-19,1973-01-19,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,Vinten # 14,1.75 in.,U-2 Aircraft #5,NULL,65000,NULL,NULL,Unknown,NASA - Ames,Eros Data Center and UCSB/GRSU,"Scattered clouds appear in some frames, up to 80%.",Public Domain,NULL,California - Regions,Los Angeles; Ventura; Santa Barbara;,1,0,NULL,no,prod,2012-08-06 11:33:02
502020,73-006-00887,"73-006, acc. 00887",73-006 acc. 00887,"73-006, acc. 00887",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1973-01-19,1973-01-19,frames 9 x 9 inches,9,9,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"RC-10,  # 17",153.22mm,U-2 Aircraft #5,NULL,65000,NULL,NULL,NULL,NASA - Ames,Eros Data Center,Scattered Clouds.,Public Domain,NULL,California - Regions,Los Angeles; Ventura; Santa Barbara;,1,2,NULL,no,prod,2012-08-06 11:33:02
502021,73-051-01057,"73-051, acc. 01057",73-051 acc. 01057,"73-051, acc. 01057",5,Roll Film Collection,400000,NULL,NULL,NASA-FSR,2000000,NULL,1973-04-03,1973-04-03,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2424,0,1,0,0,690-760nm,0,1,0,0,Positive Transparency; Black & White-infrared,,,,,,,Positive Transparency,,Black & White-infrared,,1,0,NULL,3rd generation,Vinten # 13,1.75 in.,U-2 Aircraft #4,NULL,65000,NULL,NULL,U.S. Geological Survey,NASA - Ames,Eros Data Center,NULL,Public Domain,NULL,California - Regions,Monterey; Santa Cruz; San Mateo; San Francisco; Marin; Sonoma; Mendocino; Humboldt; Del Norte; Santa Clara,1,0,NULL,no,prod,2012-08-06 11:33:02
502022,73-051-01058,"73-051, acc. 01058",73-051 acc. 01058,"73-051, acc. 01058",5,Roll Film Collection,400000,NULL,NULL,NASA-FSR,2000000,NULL,1973-04-03,1973-04-03,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,Vinten # 14,1.75 in.,U-2 Aircraft #4,NULL,65000,NULL,NULL,U.S. Geological Survey,NASA - Ames,Eros Data Center,NULL,Public Domain,NULL,California - Regions,Monterey; Santa Cruz; San Mateo; San Francisco; Marin; Sonoma; Mendocino; Humboldt; Del Norte; Santa Clara,1,0,NULL,no,prod,2012-08-06 11:33:02
502023,73-052-01063,"73-052, acc. 01063",73-052 acc. 01063,"73-142, acc. 01391",5,NULL,400000,NULL,NULL,NASA-FSR,2000000,NULL,1973-04-03,1973-04-03,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,Vinten # 4,1.75 in.,U-2 Aircraft #5,NULL,65000,NULL,NULL,NULL,NASA - Ames,Eros Data Center,NULL,Public Domain,NULL,California - Regions,San Diego; Orange; Los Angeles; Ventura; Santa Barbara;,1,0,NULL,no,prod,2012-08-06 11:33:02
502024,73-054-00995,"73-054, acc. 00995",73-054 acc. 00995,"73-054, acc. 00995",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1973-04-04,1973-04-04,frames 9 x 9 inches,9,9,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"HC-730V, # 6",6 in. (152.4mm),ER-2 #4,Various,65000,NULL,NULL,NASA / Ames,NASA - Ames,"UCB, Colwell Collection",MIL does not hold all frames in this flight.,Public Domain,NULL,California - Regions,San Mateo; San Francisco; Alameda; Contra Costa; Marin; Sonoma; Mendocino; Humboldt; Del Norte;,1,0,NULL,no,prod,2017-01-06 15:37:39
502025,73-055-01079,"73-055, acc. 01079",73-055 acc. 01079,"73-055, acc. 01079",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1973-04-05,1973-04-05,frames 9 x 9 inches,9,9,1,0,0,60%,10%,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"RC-10,  # 17",6 in. (152.4mm),U-2 #4,NULL,65000,NULL,NULL,"ERTS-1 Aircraft Support Proposal Nos. 084, 317-045, 159, 535",NASA - Ames,"Remote Sensing Research Unit, University of California, Santa Barbara",NULL,Public Domain,NULL,California - Regions,Ventura; Santa Barbara; San Luis Obispo; Kern; Kings; Nevada;,1,0,NULL,no,prod,2017-01-04 13:11:58
502026,73-069-01146,"73-069, acc. 01146",73-069 acc. 01146,"73-069, acc. 01146",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1973-05-01,1973-05-01,frames 9 x 9 inches,9,9,1,0,0,60%,10%,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"RC-10,  # 17",6 in. (152.4mm),"U-2, #4",NULL,65000,NULL,NULL,"ERTS-1 Aircraft Support Proposal Nos. 084, 317-045, 535",NASA - Ames,UCSB/GRSU,NULL,Public Domain,NULL,California - Regions,San Luis Obispo; Kern; Kings; Fresno; Imperial; Riverside;,1,0,NULL,no,prod,2017-01-06 15:37:39
502027,73-076-01176,"73-076, acc. 01176",73-076 acc. 01176,"73-076, acc. 01176",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1973-05-16,1973-05-16,frames 9 x 9 inches,9,9,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,RC-10 #17,6 in. (152.4mm),#4,NW-SE,65000,NULL,NULL,ERTS-1 Aircraft Support,NASA - Ames,NASA - Ames,NULL,Public Domain,NULL,California - Regions,Imperial; San Diego; Riverside;,1,0,NULL,no,prod,2017-01-06 15:37:39
502028,73-078-01182,"73-078, acc. 01182",73-078 acc. 01182,"73-078, acc. 01182",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1973-05-21,1973-05-21,frames 9 x 9 inches,9,9,1,0,0,60%,0-20%,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,2nd generation,"HC-730V, # 6",6 in. (152.4mm),"U-2, #4",NW-Se,65000,NULL,NULL,NASA / Ames,NASA - Ames,NASA - Ames,Quality: Good.,Public Domain,NULL,California - Regions,Yolo; Sacramento; Sutter; Placer; Yuba; Butte; Colusa; Glenn;,1,0,NULL,no,prod,2017-01-06 15:37:39
502029,73-078-01185,"73-078, acc. 01185",73-078 acc. 01185,"73-078, acc. 01185",5,Roll Film Collection,32500,NULL,NULL,NASA-FSR,2000000,NULL,1973-05-21,1973-05-21,frames 9 x 18 inches,NULL,NULL,1,0,0,60%,0-20%,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,2nd generation,"HR-732, # 9",24 in. (609.6mm),"U-2, #4",NW-SE,65000,NULL,NULL,NASA / Ames,NASA - Ames,NASA - Ames,Received: 19881101.,Public Domain,NULL,California - Regions,Yolo; Sacramento; Sutter; Placer; Yuba; Butte; Colusa; Glenn;,1,2,NULL,no,prod,2016-11-14 12:53:20
502030,73-093A-01237,"73-093A, acc. 01237",73-093A acc. 01237,"73-093A, acc. 01237",5,Roll Film Collection,32500,NULL,NULL,NASA-FSR,2000000,NULL,1973-06-11,1973-06-11,frames 9 x 18 inches,NULL,NULL,1,0,0,60%,0-20%,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,2nd generation,HR-732 #9.,24 in. (609.6mm),"U-2, #4",NW-SE,65000,NULL,NULL,ERTS-1 Aircraft Support Proposal No. 275,NASA - Ames,NASA - Ames,Received: 19860901.,Public Domain,NULL,California - Regions,Yolo; Sacramento; Sutter; Placer; Yuba; Butte; Colusa; Glenn;,1,2,NULL,no,prod,2016-11-14 12:56:39
502031,73-094-01252,"73-094, acc. 01252",73-094 acc. 01252,"73-094, acc. 01252",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,2000000,NULL,1973-06-14,1973-06-14,frames 9 x 9 inches,9,9,1,0,0,60%,10%,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,"RC-10,  # 17",6 in. (152.4mm),NASA  U-2 #4,NULL,65000,NULL,NULL,"ERTS-1 Aircraft Support Proposal No. 277, 317-045, 535",NASA - Ames,UCSB/GRSU,Received: 19810401.,Public Domain,NULL,California - Regions,Santa Barbara; San Luis Obispo; Kern; Kings; Fresno;,1,0,NULL,no,prod,2017-01-04 13:20:46
502032,73-141-01334,"73-141, acc. 01334",73-141 acc. 01334,"73-141, acc. 01334",5,Roll Film Collection,32500,NULL,NULL,NASA-FSR,2000000,NULL,1973-08-21,1973-08-21,frames 9 x 18 inches,NULL,NULL,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,HR-732 # 9,24 in. (609.6mm),ER-2 #5,E-W,65000,NULL,NULL,"Dr. RN Colwell, UC Berkeley; DD Bibles, BLM",NASA - Ames,"UCB, Colwell Collection",MIL hold only 12 of 96 frames in flight.,Public Domain,NULL,California - Regions,Modoc; Lassen;,1,0,NULL,no,prod,2016-11-14 12:59:46
502033,73-142-01391,"73-142, acc. 01391",73-142 acc. 01391,"73-142, acc. 01391",5,Roll Film Collection,400000,NULL,NULL,NASA-FSR,2000000,NULL,1973-08-22,1973-08-22,frames 70mm,NULL,NULL,1,0,0,60%,NULL,2443,0,0,0,1,510-900nm,0,1,0,0,Positive Transparency; Color-infrared,,,,,,,Positive Transparency,,Color-infrared,,1,0,NULL,3rd generation,Vinten # 14,1.75 in.,U-2 Aircraft #5,NULL,65000,NULL,NULL,Unknown,NASA - Ames,Eros Data Center,NULL,Public Domain,NULL,California - Regions,San Diego; Orange; Los Angeles; Ventura; Santa Barbara;,1,0,NULL,no,prod,2012-08-06 11:33:02
502034,73-142-01392,"73-142, accession 01392",73-142 acc. 01392,"73-142, acc. 01392",5,Roll Film Collection,130000,NULL,NULL,NASA-FSR,500000,NULL,1973-08-22,1973-08-22,frames 9 x 9 inches,9,9,1,0,0,60%,NULL,SO-242,0,0,1,0,400-700nm,0,1,0,0,Positive Transparency; Color,,Color,,,,,Positive Transparency,,,,1,0,NULL,3rd generation,RC-10 #23,6 inches (152.4mm),U-2 Aircraft #5,NULL,65000,NULL,NULL,NULL,NASA - Ames,Eros Data Center,Frame 1703 held as negative in cut frame format.,Reproduction rights held by the Regents of the University of California.,NULL,California - Regions,San Diego; Orange; Los Angeles; Ventura; Santa Barbara;,1,0,NULL,no,prod,2011-10-18 12:41:25
